Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Music,Thriller,Comedy,Crime,TV Movie,Drama,Family,Western,Adventure,War,Fantasy,Horror,Romance,Animation,Mystery,Documentary,Action,Science Fiction,History,Genre Sum
Corpus Christi,2019,77.0,Drama,Polish,1300000.0,10951283.0,9651283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Spirited Away,2002,85.0,"Animation,Family,Fantasy",Japanese,19000000.0,274925095.0,255925095.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Dragon Ball Z: Wrath of the Dragon,1995,72.0,"Animation,Action,Science Fiction",Japanese,30314000.0,24000000.0,-6314000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Three Steps Above Heaven,2010,78.0,"Romance,Drama","Spanish, Castilian",99600000.0,555598357.2,455998357.20000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
My Hero Academia: Two Heroes,2018,79.0,"Animation,Action,Adventure,Fantasy",Japanese,12000000.0,31478826.0,19478826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
Erotic Ghost Story,1990,58.0,"Fantasy,Drama,Horror",Cantonese,95000000.0,292616817.4,197616817.39999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dragon Ball Z: Battle of Gods,2013,68.0,"Animation,Action,Science Fiction",Japanese,20950000.0,50461371.0,29511371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Train to Busan,2016,78.0,"Horror,Thriller,Adventure,Action",Korean,8500000.0,87547518.0,79047518.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Life Is Beautiful,2006,85.0,"Comedy,Drama",Italian,20000000.0,230098753.0,210098753.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sex and Zen II,1996,60.0,"Drama,Fantasy,Romance,Comedy",Cantonese,60600000.0,697062094.4,636462094.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Dragon Ball Z: Fusion Reborn,2006,74.0,"Animation,Action,Fantasy,Science Fiction",Japanese,5387948.0,23500000.0,18112052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0
The Intouchables,2012,83.0,"Drama,Comedy",French,13000000.0,426588510.0,413588510.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Dragon Ball Z: Broly – Second Coming,1994,67.0,"Animation,Action,Science Fiction",Japanese,59080000.0,24200000.0,-34880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Naruto Shippuden the Movie: Blood Prison,2011,73.0,"Thriller,Animation,Action,Comedy,Horror,Mystery",Japanese,1545000.0,9100000.0,7555000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0
Parasite,2019,85.0,"Comedy,Thriller,Drama",Korean,11363000.0,257591776.0,246228776.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dragon Ball Z: Bojack Unbound,1993,71.0,"Action,Animation,Science Fiction",Japanese,24812400.0,20100000.0,-4712400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Road to Ninja: Naruto the Movie,2012,76.0,"Animation,Fantasy,Action",Japanese,44304333.2,17900000.0,-26404333.200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Héctor El Father: Conocerás la verdad,2018,78.0,"Drama,Documentary","Spanish, Castilian",89000000.0,436644599.4,347644599.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Pokemon the Movie: Mewtwo Strikes Back - Evolution,2019,67.0,"Animation,Adventure,Fantasy,Action,Family",Japanese,59844080.0,26654184.0,-33189896.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
Ava,2017,62.0,Drama,French,3000000.0,500000.0,-2500000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ponyo,2009,77.0,"Animation,Fantasy,Family",Japanese,41677699.0,202404009.0,160726310.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Dragon Ball Z: Cooler's Revenge,1991,69.0,"Action,Animation,Science Fiction",Japanese,27104689.8,16331742.0,-10772947.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,82.0,"Animation,Adventure,Comedy,Fantasy",Japanese,182000000.0,771509469.8,589509469.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Weathering with You,2019,80.0,"Animation,Drama,Fantasy,Romance",Japanese,27610000.0,186965409.0,159355409.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
"The Gangster, the Cop, the Devil",2019,77.0,"Crime,Action,Adventure",Korean,47065698.6,25775371.0,-21290327.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
A Silent Voice: The Movie,2017,84.0,"Animation,Drama",Japanese,2937023.8,30156463.0,27219439.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Raped by an Angel 2: The Uniform Fan,1998,44.0,"Horror,Thriller",Cantonese,133300000.0,601247524.8,467947524.79999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
No Manches Frida,2016,78.0,Comedy,"Spanish, Castilian",29211149.2,12421716.0,-16789433.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Along with the Gods: The Two Worlds,2017,81.0,"Action,Adventure,Fantasy,Drama",Korean,18300000.0,125983972.0,107683972.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
No Manches Frida 2,2019,80.0,Comedy,"Spanish, Castilian",102200000.0,696582478.0,594382478.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dragon Ball Z: The Return of Cooler,1992,66.0,"Action,Animation,Science Fiction",Japanese,37617129.0,19581369.0,-18035760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
El Infierno,2010,79.0,"Drama,Crime,Comedy","Spanish, Castilian",66100000.0,504220580.8,438120580.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Salò, or the 120 Days of Sodom",1993,65.0,"Drama,War",Italian,38360000.0,22017.0,-38337983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Pokémon the Movie: I Choose You!,2017,70.0,"Family,Animation,Adventure,Fantasy",Japanese,75397939.2,37552144.0,-37845795.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Berlin Drifters,2017,60.0,Drama,Japanese,73800000.0,346352260.6,272552260.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dragon Ball Z: Bardock - The Father of Goku,1990,75.0,"Animation,Action,Science Fiction,Drama,Fantasy",Japanese,85800000.0,729410268.0,643610268.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0
Jesús de Nazaret: El Hijo de Dios,2019,68.0,"Drama,History","Spanish, Castilian",103800000.0,251678636.0,147878636.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Attack on Titan II: End of the World,2015,60.0,"Horror,Science Fiction,Action,Fantasy",Japanese,140000000.0,406976495.4,266976495.39999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
Along with the Gods: The Last 49 Days,2018,82.0,"Fantasy,Action,Adventure",Korean,18300000.0,112790210.0,94490210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Dragon Ball Z: The World's Strongest,1990,65.0,"Action,Animation,Science Fiction",Japanese,38440000.0,18000000.0,-20440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Attack on Titan,2015,60.0,"Horror,Fantasy,Action,Science Fiction",Japanese,89940000.0,677005035.0,587065035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
Dragon Ball Z: The Tree of Might,1990,65.0,"Action,Animation,Science Fiction",Japanese,36820000.0,15000000.0,-21820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Dragon Ball Z: Super Android 13!,1992,67.0,"Action,Animation,Science Fiction",Japanese,28301500.0,18554927.0,-9746573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Malena,2000,74.0,Drama,Italian,902001.4,14493284.0,13591282.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Naruto Shippuden the Movie: Bonds,2008,73.0,"Fantasy,Animation,Action",Japanese,24070000.0,10600000.0,-13470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Ong Bak: Muay Thai Warrior,2005,71.0,"Action,Thriller",Thai,1100000.0,20112926.0,19012926.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Nothing to Lose,2018,55.0,"Drama,History",Portuguese,81000000.0,339475118.4,258475118.39999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Saint Seiya: Legend of Sanctuary,2014,65.0,"Action,Animation,Fantasy",Japanese,23000000.0,17150803.0,-5849197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
"Madrid, 1987",2011,65.0,Drama,"Spanish, Castilian",95600000.0,305560367.8,209960367.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yu-Gi-Oh!: The Dark Side of Dimensions,2017,76.0,"Adventure,Animation",Japanese,9164600.0,1015339.0,-8149261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Gonjiam: Haunted Asylum,2018,73.0,"Horror,Mystery",Korean,1832000.0,21041950.0,19209950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Saint Seiya Heaven Chapter: Overture,2004,76.0,"Animation,Fantasy",Japanese,115200000.0,374432347.0,259232347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Naruto Shippuden the Movie: The Lost Tower,2010,70.0,"Adventure,Action,Animation",Japanese,30620000.0,8500000.0,-22120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Young Sister In Law 4,2019,40.0,Romance,Korean,76800000.0,858637629.0,781837629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La espina de Dios,2015,50.0,Drama,"Spanish, Castilian",151600000.0,665194474.0,513594474.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Beauty Salon: Special Service 3,2019,64.0,Romance,Korean,77400000.0,431611098.0,354211098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dragon Ball Z: Bio-Broly,1994,57.0,"Animation,Action,Science Fiction",Japanese,17480000.0,19500000.0,2020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",2014,71.0,"Action,Animation,Adventure,Comedy,Fantasy",Japanese,79497600.0,629830598.8,550332998.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
I Want You,2012,74.0,"Drama,Romance","Spanish, Castilian",85000000.0,645835675.2,560835675.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Be My Slave,2012,57.0,"Drama,Romance,Comedy",Japanese,104698000.0,531865785.2,427167785.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
I Want to Eat Your Pancreas,2018,82.0,"Animation,Drama,Romance",Japanese,8234023.8,33748006.0,25513982.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Dragon Ball Z: Lord Slug,1991,65.0,"Action,Animation,Science Fiction",Japanese,36820000.0,16400000.0,-20420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
My Girlfriend's Mother 2,2018,22.0,Romance,Korean,12001040.0,38139010.0,26137970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A Female Employee's Taste,2018,49.0,"Drama,Romance",Korean,152200000.0,866174577.8,713974577.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
The Protector,2005,71.0,"Action,Crime,Drama,Thriller",Thai,6000000.0,27165581.0,21165581.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Dragon Ball GT: A Hero's Legacy,1997,68.0,"Animation,Family,Fantasy",Japanese,87000000.0,459237806.0,372237806.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Young Mother,2013,50.0,"Comedy,Romance",Korean,116800000.0,448439992.2,331639992.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
My Neighbor Totoro,1991,81.0,"Fantasy,Animation,Family",Japanese,3700000.0,45000000.0,41300000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Pokémon the Movie: Hoopa and the Clash of Ages,2015,68.0,"Family,Adventure,Animation,Action,Fantasy",Japanese,150000000.0,456371317.2,306371317.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
Wife's Mom 2,2019,50.0,"Drama,Romance",Korean,175600000.0,288568132.4,112968132.39999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
One Piece Film: GOLD,2016,72.0,"Action,Animation,Adventure,Comedy",Japanese,32317939.2,66207073.0,33889133.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
Naruto Shippuden the Movie: The Will of Fire,2009,72.0,"Action,Adventure,Comedy,Drama,Fantasy,Animation",Japanese,26080000.0,8084148.0,-17995852.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
Daughter of Darkness 2,1994,50.0,"Drama,Horror,Comedy",Cantonese,131200000.0,269916224.0,138716224.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Shaolin Soccer,2004,71.0,"Action,Comedy",Cantonese,10000000.0,42776032.0,32776032.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
The Torture Club,2014,48.0,"Drama,Comedy",Japanese,104000000.0,904907413.0,800907413.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
The Testament of Sister New Devil: Departures,2018,65.0,"Animation,Action,Romance,Fantasy",Japanese,163740000.0,388667790.4,224927790.39999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
Princess Mononoke,2001,83.0,"Adventure,Fantasy,Animation",Japanese,26500000.0,159414369.0,132914369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
The Flu,2013,75.0,"Action,Science Fiction",Korean,2492000.0,19775853.0,17283853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
Good Mother 3,2019,35.0,Romance,Korean,47270000.0,329856760.8,282586760.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,67.0,"Family,Adventure,Animation,Fantasy,Science Fiction",Japanese,121400000.0,839693069.4,718293069.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
Nothing to Lose - Part 2,2019,50.0,Drama,Portuguese,151600000.0,665194474.0,513594474.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Scars,2005,72.0,Drama,"Spanish, Castilian",81200000.0,472749495.2,391549495.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sex Exchange,2018,10.0,"Drama,Romance",Korean,201940000.0,38157314.0,-163782686.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sweet Sex and Love,2003,44.0,"Romance,Drama",Korean,116874600.0,438915670.8,322041070.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
The Invisible Guest,2018,81.0,"Drama,Mystery,Thriller","Spanish, Castilian",4000000.0,30000000.0,26000000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Desire,2011,60.0,"Drama,Romance",French,1344000.0,21185963.6,19841963.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
